subject,session,class_name,cue_side,rt_group,n_trials,n_unusable,unusable_rate,mean_error,mean_RT
s03,2,away,left,trimmedRT,11,1,0.0909090909090909,61.6363636363636,3561.27272727273
s03,2,away,right,validRT,53,7,0.132075471698113,12.6603773584906,693
s03,2,away,right,trimmedRT,6,1,0.166666666666667,47.3333333333333,3608.16666666667
s03,2,away,other,validRT,0,0,NaN,NaN,NaN
s03,2,away,other,trimmedRT,0,0,NaN,NaN,NaN
s03,2,tooSmall,left,validRT,72,10,0.138888888888889,19.125,843.416666666667
s03,2,tooSmall,left,trimmedRT,4,2,0.5,32.25,3844
s03,2,tooSmall,right,validRT,60,8,0.133333333333333,15.6166666666667,615.366666666667
s03,2,tooSmall,right,trimmedRT,6,1,0.166666666666667,63,4263.5
s03,2,tooSmall,other,validRT,0,0,NaN,NaN,NaN
s03,2,tooSmall,other,trimmedRT,0,0,NaN,NaN,NaN
s03,2,unclassified,left,validRT,0,0,NaN,NaN,NaN
s03,2,unclassified,left,trimmedRT,0,0,NaN,NaN,NaN
s03,2,unclassified,right,validRT,0,0,NaN,NaN,NaN
s03,2,unclassified,right,trimmedRT,0,0,NaN,NaN,NaN
s03,2,unclassified,other,validRT,0,0,NaN,NaN,NaN
s03,2,unclassified,other,trimmedRT,0,0,NaN,NaN,NaN
s04,1,toward,left,validRT,95,3,0.0315789473684211,17.2526315789474,924.484210526316
s04,1,toward,left,trimmedRT,5,0,0,15.8,3452.4
s04,1,toward,right,validRT,98,1,0.0102040816326531,13.9489795918367,928.938775510204
s04,1,toward,right,trimmedRT,10,2,0.2,20.1,2691.5
s04,1,toward,other,validRT,0,0,NaN,NaN,NaN
s04,1,toward,other,trimmedRT,0,0,NaN,NaN,NaN
s04,1,noMS,left,validRT,77,7,0.0909090909090909,10.0909090909091,810.324675324675
s04,1,noMS,left,trimmedRT,2,0,0,6.5,2504.5
s04,1,noMS,right,validRT,78,8,0.102564102564103,9.80769230769231,857
s04,1,noMS,right,trimmedRT,13,1,0.0769230769230769,20.6923076923077,2562.07692307692
s04,1,noMS,other,validRT,0,0,NaN,NaN,NaN
s04,1,noMS,other,trimmedRT,0,0,NaN,NaN,NaN
s04,1,away,left,validRT,50,1,0.02,22.26,896.46
s04,1,away,left,trimmedRT,4,0,0,15.5,2408.5
s04,1,away,right,validRT,36,2,0.0555555555555556,10.8888888888889,835.805555555556
s04,1,away,right,trimmedRT,8,0,0,4.375,2669.75
s04,1,away,other,validRT,0,0,NaN,NaN,NaN
s04,1,away,other,trimmedRT,0,0,NaN,NaN,NaN
s04,1,tooSmall,left,validRT,62,3,0.0483870967741935,17.1612903225806,868.967741935484
s04,1,tooSmall,left,trimmedRT,5,1,0.2,18.6,2769.4
s04,1,tooSmall,right,validRT,50,3,0.06,13.6,870.02
s04,1,tooSmall,right,trimmedRT,7,1,0.142857142857143,40.7142857142857,2799
s04,1,tooSmall,other,validRT,0,0,NaN,NaN,NaN
s04,1,tooSmall,other,trimmedRT,0,0,NaN,NaN,NaN
s04,1,unclassified,left,validRT,0,0,NaN,NaN,NaN
s04,1,unclassified,left,trimmedRT,0,0,NaN,NaN,NaN
s04,1,unclassified,right,validRT,0,0,NaN,NaN,NaN
s04,1,unclassified,right,trimmedRT,0,0,NaN,NaN,NaN
s04,1,unclassified,other,validRT,0,0,NaN,NaN,NaN
s04,1,unclassified,other,trimmedRT,0,0,NaN,NaN,NaN
s04,2,toward,left,validRT,147,0,0,14.6938775510204,702.231292517007
s04,2,toward,left,trimmedRT,2,0,0,16,3067.5
s04,2,toward,right,validRT,131,0,0,12.587786259542,683.190839694656
s04,2,toward,right,trimmedRT,3,0,0,12.6666666666667,2371.33333333333
s04,2,toward,other,validRT,0,0,NaN,NaN,NaN
s04,2,toward,other,trimmedRT,0,0,NaN,NaN,NaN
s04,2,noMS,left,validRT,69,1,0.0144927536231884,14.9420289855072,625.072463768116
s04,2,noMS,left,trimmedRT,0,0,NaN,NaN,NaN
s04,2,noMS,right,validRT,69,1,0.0144927536231884,11.7101449275362,667.347826086957
s04,2,noMS,right,trimmedRT,3,0,0,35,2700
s04,2,noMS,other,validRT,0,0,NaN,NaN,NaN
s04,2,noMS,other,trimmedRT,0,0,NaN,NaN,NaN
s04,2,away,left,validRT,24,0,0,14.5,747.125
s04,2,away,left,trimmedRT,0,0,NaN,NaN,NaN
s04,2,away,right,validRT,27,0,0,14.8518518518519,696.037037037037
s04,2,away,right,trimmedRT,1,0,0,18,1966
s04,2,away,other,validRT,0,0,NaN,NaN,NaN
s04,2,away,other,trimmedRT,0,0,NaN,NaN,NaN
s04,2,tooSmall,left,validRT,58,0,0,11.7068965517241,611.844827586207
s04,2,tooSmall,left,trimmedRT,0,0,NaN,NaN,NaN
s04,2,tooSmall,right,validRT,66,1,0.0151515151515152,13.530303030303,636.424242424242
s04,2,tooSmall,right,trimmedRT,0,0,NaN,NaN,NaN
s04,2,tooSmall,other,validRT,0,0,NaN,NaN,NaN
s04,2,tooSmall,other,trimmedRT,0,0,NaN,NaN,NaN
s04,2,unclassified,left,validRT,0,0,NaN,NaN,NaN
s04,2,unclassified,left,trimmedRT,0,0,NaN,NaN,NaN
s04,2,unclassified,right,validRT,0,0,NaN,NaN,NaN
s04,2,unclassified,right,trimmedRT,0,0,NaN,NaN,NaN
s04,2,unclassified,other,validRT,0,0,NaN,NaN,NaN
s04,2,unclassified,other,trimmedRT,0,0,NaN,NaN,NaN
s06,1,toward,left,validRT,108,11,0.101851851851852,13.2037037037037,706.398148148148
s06,1,toward,left,trimmedRT,0,0,NaN,NaN,NaN
s06,1,toward,right,validRT,72,5,0.0694444444444444,10,778.708333333333
s06,1,toward,right,trimmedRT,4,1,0.25,42.5,1427.5
s06,1,toward,other,validRT,0,0,NaN,NaN,NaN
s06,1,toward,other,trimmedRT,0,0,NaN,NaN,NaN
s06,1,noMS,left,validRT,44,10,0.227272727272727,13.7045454545455,652.5
s06,1,noMS,left,trimmedRT,2,1,0.5,8.5,1540.5
s06,1,noMS,right,validRT,41,8,0.195121951219512,13.8292682926829,704.268292682927
s06,1,noMS,right,trimmedRT,1,0,0,6,1628
s06,1,noMS,other,validRT,0,0,NaN,NaN,NaN
s06,1,noMS,other,trimmedRT,0,0,NaN,NaN,NaN
s06,1,away,left,validRT,54,6,0.111111111111111,17.3518518518519,768.351851851852
s06,1,away,left,trimmedRT,1,0,0,18,1443
s06,1,away,right,validRT,81,7,0.0864197530864197,13.3703703703704,755.506172839506
s06,1,away,right,trimmedRT,2,0,0,41,1465.5
s06,1,away,other,validRT,0,0,NaN,NaN,NaN
s06,1,away,other,trimmedRT,0,0,NaN,NaN,NaN
s06,1,tooSmall,left,validRT,86,10,0.116279069767442,15.1046511627907,731.302325581395
s06,1,tooSmall,left,trimmedRT,5,1,0.2,52.4,1955
s06,1,tooSmall,right,validRT,94,2,0.0212765957446809,13.3723404255319,685.148936170213
s06,1,tooSmall,right,trimmedRT,5,1,0.2,47.6,1617.4
s06,1,tooSmall,other,validRT,0,0,NaN,NaN,NaN
s06,1,tooSmall,other,trimmedRT,0,0,NaN,NaN,NaN
s06,1,unclassified,left,validRT,0,0,NaN,NaN,NaN
s06,1,unclassified,left,trimmedRT,0,0,NaN,NaN,NaN
s06,1,unclassified,right,validRT,0,0,NaN,NaN,NaN
s06,1,unclassified,right,trimmedRT,0,0,NaN,NaN,NaN
s06,1,unclassified,other,validRT,0,0,NaN,NaN,NaN
s06,1,unclassified,other,trimmedRT,0,0,NaN,NaN,NaN
s06,2,toward,left,validRT,106,6,0.0566037735849057,13.9339622641509,670.566037735849
s06,2,toward,left,trimmedRT,5,0,0,48,1554.4
